id;power;cordinates;antenna_Location_WGS84_E;antenna_Location_WGS84_N;building;streetNumber;street;town;district;state;country;postal;type
4253;Mittel;POINT (2498065 1113665);46.16672598881586;6.118833383907952;;16; Route des Chevaliers-de-Malte;Plan-les-Oua Pl. A;; 1228; Schweiz; 1228;5G
4254;Mittel;POINT (2619979 1212707);47.065083962398184;7.701635911442674;;533a; 229;Rüegsbach;; 3418; Schweiz; 3418;5G
4255;Klein;POINT (2677395 1176068);46.73131946605599;8.451189985167119;;11; Gadmen;; Verwaltungsregion Oberland; Uri; Schweiz;;5G
4256;Gross;POINT (2777947 1177534);46.72524728121953;9.766721447633683;;;Alter Zügenweg;Davos Glaris;; 7277; Schweiz; 7277;5G
4257;Mittel;POINT (2739350 1267719);47.54540188775055;9.2898027903149;;;PFIFFNER's Brockihalle & ART;Oberaach;; 8587; Schweiz; 8587;5G
4258;Mittel;POINT (2599896 1198756);46.93989274805993;7.437266747177326;;;Scheuerrain;Bern;; 3007; Schweiz; 3007;5G
4259;Mittel;POINT (2750015 1264259);47.51194355612615;9.430255172534974;;18a; St. Gallerstrasse;Arbon Stickereistr;; 9320; Schweiz; 9320;5G
4261;Klein;POINT (2536536 1153971);46.53401381453956;6.611379798141041;;1; Avenue de Chantegrive;Prilly;; 1008; Schweiz; 1008;5G
4262;Sehr Klein;POINT (2666643 1214750);47.080412365042974;8.31619283909358;;A14; Milchhof;Ebikon Mall Switz.;; 6030; Schweiz; 6030;5G
4263;Mittel;POINT (2495288 1121681);46.2383973690342;6.08108674733978;;21; Rue des Lattes;Meyrin;; 1217; Schweiz; 1217;5G
4264;Sehr Klein;POINT (2683619 1246782);47.36657503003749;8.54565833788125;;1284; Sechseläutenplatz;Zürich;; 8001; Schweiz; 8001;5G
4265;Mittel;POINT (2719653 1243317);47.329858346370266;9.021677213060766;;;Libingen;Libingen;; 9614; Schweiz; 9614;5G
4266;Mittel;POINT (2636096 1241037);47.31921860331372;7.916064088338796;;;Eichmattstrasse;Oftringen Tychb.;; 4665; Schweiz; 4665;5G
4267;Mittel;POINT (2576772 1197486);46.92805993301356;7.133637044591501;;;Combette;Münchenwiler;; 1797; Schweiz; 1797;5G
4268;Mittel;POINT (2678640 1251036);47.405446012964475;8.48049694551758;;1; Frankentalerstrasse;Zürich;; 8064; Schweiz; 8064;5G
4269;Gross;POINT (2496634 1116014);46.18763517293672;6.099789240603285;;3; Rue du Vieux-Moulin;Petit-Lancy 2;; 1213; Schweiz; 1213;5G
4270;Gross;POINT (2664664 1255297);47.44528807298908;8.295966974693;;41; Täfernstrasse;Baden Täfern;; 5405; Schweiz; 5405;5G
4271;Mittel;POINT (2611050 1184372);46.81041406795438;7.583409789969327;;35; Pontisweg;Jaberg;; 3629; Schweiz; 3629;5G
4272;Mittel;POINT (2619083 1263400);47.52106359816137;7.69198930741027;;;Citygrill;Pratteln 1;; 4133; Schweiz; 4133;5G
4273;Gross;POINT (2683931 1239632);47.30223211341127;8.548449686307652;;;Thalwil;Rüschlikon;; 8803; Schweiz; 8803;5G
4274;Mittel;POINT (2709858 1268416);47.55726582404474;8.898294496922746;;;St. Nikolaus;Frauenfeld;; 8510; Schweiz; 8510;5G
4275;Mittel;POINT (2533941 1153776);46.53200816036447;6.577584310773714;;29; Rue de la Blancherie;Chavannes-Renens;; 1022; Schweiz; 1022;5G
4276;Mittel;POINT (2709741 1094259);45.990982508304825;8.854971178258003;;;Monte Mondini;Novaggio;; 6986; Schweiz; 6986;5G
4277;Mittel;POINT (2680372 1250517);47.40056937253884;8.503347500298322;;136; Limmattalstrasse;Zürich;; 8049; Schweiz; 8049;5G
4278;Mittel;POINT (2601579 1200438);46.955020949012386;7.459375807014425;;3; Kasernenstrasse;Bern;; 3013; Schweiz; 3013;5G
4279;Mittel;POINT (2682543 1252024);47.41385375883289;8.532382247083579;;180; Binzmühlestrasse;Zürich;; 8052; Schweiz; 8052;5G
4280;Mittel;POINT (2756242 1190626);46.848415569491024;9.487364107804797;;;Rheinstrasse;Felsberg;; 7012; Schweiz; 7012;5G
4281;Mittel;POINT (2575203 1213322);47.070448008824854;7.112167139061039;;42; Chemin de Saint-Joux;La Neuveville Dist;; 2520; Schweiz; 2520;5G
4282;Gross;POINT (2702760 1228862);47.20271115974545;8.79491967962103;;9.1; Industriestrasse;Pfäffikon Poststr;; 8808; Schweiz; 8808;5G
4283;Klein;POINT (2610850 1266009);47.54471512865615;7.582742424924362;;79; Margarethenstrasse;Basel;; 4053; Schweiz; 4053;5G
4284;Mittel;POINT (2694106 1281521);47.677557276730504;8.691818705791594;;13; Gewerbestrasse;Schlatt TG;; 8252; Schweiz; 8252;5G
4285;Mittel;POINT (2566805 1122439);46.25255950484501;7.008189370767052;;15 ; 17;Les Posses-sur-Bex;; 1880; Schweiz; 1880;5G
4286;Mittel;POINT (2637365 1238198);47.293613307389116;7.932612456911908;;21; Untere Brühlstrasse;Zofingen U. Graben;; 4800; Schweiz; 4800;5G
4287;Mittel;POINT (2720668 1077942);45.84237099772601;8.991791411186854;;;Novazzano;Novazzano;; 6883; Schweiz; 6883;5G
4288;Gross;POINT (2503533 1135218);46.36139019149517;6.185153863686636;;A1; Petite Coudre;Céligny;; 1298; Schweiz; 1298;5G
4289;Mittel;POINT (2681640 1236448);47.2738838344134;8.51758073037728;;;Hinteralbisstrasse;Sihlbrugg Station;; 8135; Schweiz; 8135;5G
4291;Mittel;POINT (2627203 1235605);47.270787273448306;7.79811060829566;Mehrzweckhalle; 4; Schulstrasse;Wolfwil;; 4628; Schweiz; 4628;5G
4292;Sehr Klein;POINT (2684093 1245602);47.355902521027346;8.551711212085664;;;Blatterwiese;Zürich;; 8008; Schweiz; 8008;5G
4293;Mittel;POINT (2538929 1152445);46.52051035202897;6.642772772793348;;27a; Avenue du Tribunal-Fédéral;Lausanne;; 1005; Schweiz; 1005;5G
4294;Gross;POINT (2748815 1197431);46.91131262473914;9.392240096281538;;;Pfäfers;Vättis;; 7315; Schweiz; 7315;5G
4295;Mittel;POINT (2528117 1152294);46.51807628364171;6.50190850125317;;4; Chemin de la Grosse-Pierre;Morges Charpent.;; 1110; Schweiz; 1110;5G
4296;Gross;POINT (2611030 1267740);47.560280269879534;7.585176058657507;ZA ZAA - Libanesisches Restaurant; 15; Petersgraben;Basel;; 4051; Schweiz; 4051;5G
